model,train-data,test-data,accuracy,precision,recall,f1_score,throughput
RF,original,original,0.9494214876033058,0.9415314975480952,0.942954287873064,0.942242355605889,1241.8582542031545
RF,original,rewritten,0.8490909090909091,0.8196902654867256,0.8398186626369475,0.8296323941033775,1353.1105203587215
RF,combined,original,0.7507438016528926,0.6516644474034621,0.9244427653947864,0.7644486098094345,795.7597927098411
RF,combined,rewritten,0.6426446280991736,0.558391524199374,0.8760861352474499,0.6820588235294117,809.537065976523
SVM,original,original,0.9697520661157024,0.9642049736247174,0.966754816773706,0.9654782116581776,1174.6394188206705
SVM,original,rewritten,0.8661157024793389,0.8930252460419341,0.7884397431054023,0.8374799357945425,1238.9080635504588
SVM,combined,original,0.964793388429752,0.9595921450151056,0.9599546656592368,0.959773371104816,738.6384953553506
SVM,combined,rewritten,0.9165289256198348,0.9053747161241484,0.9036645258783528,0.9045188126299868,763.4484246113934
Simple Neural Network,original,original,0.9646280991735536,0.9644902634593356,0.954287873063846,0.9593619445499432,805.3725826720002
Simple Neural Network,original,rewritten,0.7976859504132231,0.8531017369727047,0.6494144314318095,0.7374517374517374,871.4271114359028
Simple Neural Network,combined,original,0.9596694214876031,0.9605212725182062,0.9467321496033244,0.9535768645357686,518.7013188715188
Simple Neural Network,combined,rewritten,0.8942148760330578,0.8849252013808976,0.8715527011711371,0.8781880472021317,486.8775745443134
CNN,original,original,0.9775206611570249,0.9775580068467098,0.9709104646769928,0.9742228961334344,836.196195172316
CNN,original,rewritten,0.851900826446281,0.915914489311164,0.7283717415942577,0.8114478114478114,902.7683858260796
CNN,combined,original,0.973388429752066,0.9683496608892238,0.9709104646769928,0.969628372005282,507.5348614538274
CNN,combined,rewritten,0.9148760330578511,0.8930678466076696,0.9149981110691348,0.9038999813398022,523.5085347304378
RNN,original,original,0.942809917355372,0.949238578680203,0.9183981866263696,0.9335637480798772,628.2233629113176
RNN,original,rewritten,0.747603305785124,0.8222094361334867,0.5398564412542501,0.6517673888255416,562.3301580175108
RNN,combined,original,0.9366942148760332,0.9080749819754866,0.9516433698526634,0.9293488286294042,381.9084330212311
RNN,combined,rewritten,0.8233057851239669,0.7507946598855689,0.8923309406875708,0.8154669428620749,425.7641233990728
LSTM,original,original,0.9778512396694214,0.9804971319311664,0.9686437476388364,0.9745343975674648,616.7634618373717
LSTM,original,rewritten,0.8140495867768595,0.906517094017094,0.6411031356252361,0.7510511175038725,699.2572268662173
LSTM,combined,original,0.9765289256198348,0.97281993204983,0.9735549678881752,0.9731873111782476,437.9536609481576
LSTM,combined,rewritten,0.922809917355372,0.9110105580693816,0.9127313940309784,0.9118701641819212,427.39383505872416
BERT,original,original,0.9945454545454544,0.992093373493976,0.9954665659236872,0.993777107297756,196.9168543215312
BERT,original,rewritten,0.7725619834710744,0.9156311314584696,0.5289006422364941,0.6704980842911877,190.90206497328631
BERT,combined,original,0.9932231404958678,0.9905873493975904,0.9939554212315828,0.9922685272487272,187.9146332513784
BERT,combined,rewritten,0.9418181818181818,0.9318780579601054,0.9353985644125424,0.933634992458522,186.65104642076548
RoBERTa,original,original,0.9930578512396694,0.991694979237448,0.9924442765394786,0.9920694864048338,139.35897343732717
RoBERTa,original,rewritten,0.8251239669421487,0.9047376464595008,0.6709482432942955,0.7704989154013016,207.141808832246
RoBERTa,combined,original,0.992396694214876,0.9883589936162224,0.994333207404609,0.991337099811676,138.76715481043414
RoBERTa,combined,rewritten,0.9406611570247934,0.9291072768192048,0.9357763505855684,0.932429888951628,205.0409227532677
DistilBERT,original,original,0.9948760330578512,0.9928409947249436,0.9954665659236872,0.9941520467836256,201.3172093535724
DistilBERT,original,rewritten,0.7687603305785125,0.9121532364597094,0.5217227049489989,0.6637827445325643,402.03365930137113
DistilBERT,combined,original,0.9930578512396694,0.991694979237448,0.9924442765394786,0.9920694864048338,200.49928040263225
DistilBERT,combined,rewritten,0.9373553719008264,0.9419329696024942,0.9131091802040046,0.9272971417609822,389.6956612967208
